amfi_code,scheme_name,alpha,beta,r_squared
100016,HDFC Top 100 Fund - Regular Plan - Growth,3.7476,-0.0583,0.0027
100025,HDFC Short Term Debt Fund - Regular - Growth,4.2818,0.0012,0.0
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,27.1954,0.0051,0.0
101206,ABSL Frontline Equity Fund - Regular - Growth,21.3998,0.0211,0.0003
101207,ABSL Small Cap Fund - Regular - Growth,10.8971,-0.0653,0.0011
101208,ABSL Liquid Fund - Regular - Growth,6.0861,0.0003,0.0
102885,UTI Nifty 50 Index Fund - Regular - Growth,17.0488,-0.0195,0.0004
102886,UTI Mid Cap Fund - Regular - Growth,2.8969,-0.0421,0.0009
102887,UTI Flexi Cap Fund - Regular - Growth,16.2113,0.0167,0.0002
118632,Nippon India Large Cap Fund - Regular - Growth,21.8294,-0.0084,0.0001
118633,Nippon India Large Cap Fund - Direct - Growth,15.6438,-0.0366,0.0011
118634,Nippon India Small Cap Fund - Regular - Growth,17.5007,0.1035,0.0028
118635,Nippon India ETF Nifty 50 BeES,15.1364,-0.0014,0.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,5.0748,0.0013,0.0
119092,Axis Bluechip Fund - Regular - Growth,6.8995,0.0097,0.0001
119093,Axis Bluechip Fund - Direct - Growth,8.2328,0.0259,0.0006
119094,Axis Midcap Fund - Regular - Growth,26.0767,-0.0663,0.0019
119095,Axis Small Cap Fund - Regular - Growth,4.8016,-0.067,0.0012
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.6209,-0.0064,0.0004
119551,SBI Bluechip Fund - Regular Plan - Growth,23.201,-0.0318,0.0009
119552,SBI Bluechip Fund - Direct Plan - Growth,19.8686,-0.0262,0.0006
119598,SBI Small Cap Fund - Regular Plan - Growth,30.337,-0.0232,0.0001
119599,SBI Small Cap Fund - Direct Plan - Growth,4.8824,0.062,0.001
120503,ICICI Pru Bluechip Fund - Regular - Growth,17.7033,-0.0403,0.0014
120504,ICICI Pru Bluechip Fund - Direct - Growth,21.1948,0.0162,0.0002
120505,ICICI Pru Midcap Fund - Regular - Growth,29.2636,0.0005,0.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,16.2539,0.0419,0.0013
120507,ICICI Pru Liquid Fund - Regular - Growth,6.7462,-0.0004,0.0001
120841,Kotak Bluechip Fund - Regular - Growth,13.0429,0.0364,0.0012
120842,Kotak Emerging Equity Fund - Regular - Growth,7.8044,0.0181,0.0002
120843,Kotak Flexicap Fund - Regular - Growth,27.3305,-0.0228,0.0003
120844,Kotak Liquid Fund - Regular - Growth,6.4557,-0.0004,0.0001
125497,HDFC Top 100 Fund - Direct Plan - Growth,17.7298,0.0488,0.0018
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.9891,0.0091,0.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,26.9838,0.0237,0.0005
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,20.873,-0.0264,0.0005
148569,Mirae Asset Tax Saver Fund - Regular - Growth,28.2704,0.0181,0.0002
149322,DSP Top 100 Equity Fund - Regular - Growth,13.1732,-0.0041,0.0
149323,DSP Midcap Fund - Regular - Growth,26.5986,-0.0025,0.0
149324,DSP Small Cap Fund - Regular - Growth,30.0579,0.0115,0.0
