amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr
100016,HDFC Top 100 Fund - Regular Plan - Growth,-4.34,-1.8,3.72
100025,HDFC Short Term Debt Fund - Regular - Growth,2.69,4.11,2.92
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,35.72,24.41,23.11
101206,ABSL Frontline Equity Fund - Regular - Growth,37.52,22.4,17.43
101207,ABSL Small Cap Fund - Regular - Growth,-9.2,-5.57,1.32
101208,ABSL Liquid Fund - Regular - Growth,5.13,4.34,4.32
102885,UTI Nifty 50 Index Fund - Regular - Growth,13.98,13.11,13.16
102886,UTI Mid Cap Fund - Regular - Growth,-20.09,-3.66,1.51
102887,UTI Flexi Cap Fund - Regular - Growth,-8.33,17.22,16.36
118632,Nippon India Large Cap Fund - Regular - Growth,18.21,13.18,17.22
118633,Nippon India Large Cap Fund - Direct - Growth,16.71,16.73,11.14
118634,Nippon India Small Cap Fund - Regular - Growth,30.28,5.81,7.94
118635,Nippon India ETF Nifty 50 BeES,12.29,13.17,14.88
118636,Nippon India Gilt Securities Fund - Regular - Growth,8.23,5.54,2.19
119092,Axis Bluechip Fund - Regular - Growth,4.71,0.05,1.86
119093,Axis Bluechip Fund - Direct - Growth,11.4,8.93,10.71
119094,Axis Midcap Fund - Regular - Growth,21.26,21.29,23.49
119095,Axis Small Cap Fund - Regular - Growth,-22.11,-9.74,-5.54
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,2.19,2.95,4.55
119551,SBI Bluechip Fund - Regular Plan - Growth,32.87,28.56,19.51
119552,SBI Bluechip Fund - Direct Plan - Growth,12.75,5.16,15.64
119598,SBI Small Cap Fund - Regular Plan - Growth,39.92,18.93,17.93
119599,SBI Small Cap Fund - Direct Plan - Growth,22.95,-3.46,-6.41
120503,ICICI Pru Bluechip Fund - Regular - Growth,5.67,9.85,8.83
120504,ICICI Pru Bluechip Fund - Direct - Growth,17.13,13.18,17.34
120505,ICICI Pru Midcap Fund - Regular - Growth,27.48,15.72,18.11
120506,ICICI Pru Value Discovery Fund - Regular - Growth,24.87,14.23,12.96
120507,ICICI Pru Liquid Fund - Regular - Growth,5.12,4.96,4.94
120841,Kotak Bluechip Fund - Regular - Growth,29.85,6.33,12.39
120842,Kotak Emerging Equity Fund - Regular - Growth,12.54,9.84,5.59
120843,Kotak Flexicap Fund - Regular - Growth,25.06,21.67,22.93
120844,Kotak Liquid Fund - Regular - Growth,5.27,4.52,4.62
125497,HDFC Top 100 Fund - Direct Plan - Growth,29.59,14.93,13.35
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,39.83,11.29,10.75
148567,Mirae Asset Large Cap Fund - Regular - Growth,4.46,25.13,18.32
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,18.36,10.11,11.16
148569,Mirae Asset Tax Saver Fund - Regular - Growth,40.29,20.89,18.83
149322,DSP Top 100 Equity Fund - Regular - Growth,8.56,13.59,10.92
149323,DSP Midcap Fund - Regular - Growth,11.01,24.69,23.44
149324,DSP Small Cap Fund - Regular - Growth,38.62,17.05,21.55
