amfi_code,scheme_name,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,expense_ratio_pct,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,24.41,0.8083,27.1954,-16.22,1.38,92.5,85.0,87.5,60.0,50.0,80.5
148567,Mirae Asset Large Cap Fund - Regular - Growth,25.13,1.0682,26.9838,-11.27,1.46,97.5,100.0,85.0,45.0,20.0,80.0
120505,ICICI Pru Midcap Fund - Regular - Growth,15.72,0.8833,29.2636,-18.19,1.36,70.0,92.5,95.0,65.0,62.5,79.12
120843,Kotak Flexicap Fund - Regular - Growth,21.67,0.9656,27.3305,-12.97,1.45,87.5,97.5,90.0,47.5,32.5,79.0
119598,SBI Small Cap Fund - Regular Plan - Growth,18.93,0.7117,30.337,-28.71,1.43,80.0,70.0,100.0,50.0,90.0,78.0
119094,Axis Midcap Fund - Regular - Growth,21.29,0.7305,26.0767,-20.96,1.38,85.0,80.0,80.0,60.0,70.0,77.5
119551,SBI Bluechip Fund - Regular Plan - Growth,28.56,0.861,23.201,-15.01,1.54,100.0,90.0,77.5,26.25,42.5,76.19
149324,DSP Small Cap Fund - Regular - Growth,17.05,0.7144,30.0579,-31.17,1.52,75.0,72.5,97.5,36.25,92.5,74.81
148569,Mirae Asset Tax Saver Fund - Regular - Growth,20.89,0.919,28.2704,-16.4,1.6,82.5,95.0,92.5,11.25,52.5,73.94
149323,DSP Midcap Fund - Regular - Growth,24.69,0.8329,26.5986,-17.25,1.61,95.0,87.5,82.5,7.5,55.00000000000001,73.5
118632,Nippon India Large Cap Fund - Regular - Growth,13.18,0.7589,21.8294,-17.41,1.51,58.75,82.5,75.0,41.25,57.49999999999999,65.19
101206,ABSL Frontline Equity Fund - Regular - Growth,22.4,0.7174,21.3998,-11.29,1.6,90.0,77.5,72.5,11.25,22.5,64.81
120504,ICICI Pru Bluechip Fund - Direct - Growth,13.18,0.7147,21.1948,-12.59,0.8,58.75,75.0,70.0,72.5,30.0,64.25
118633,Nippon India Large Cap Fund - Direct - Growth,16.73,0.3888,15.6438,-18.63,0.72,72.5,50.0,47.5,88.75,65.0,63.56
125497,HDFC Top 100 Fund - Direct Plan - Growth,14.93,0.5063,17.7298,-15.2,0.92,67.5,57.49999999999999,62.5,67.5,45.0,61.75
120506,ICICI Pru Value Discovery Fund - Regular - Growth,14.23,0.4046,16.2539,-19.83,1.41,65.0,55.00000000000001,52.5,55.00000000000001,67.5,58.75
119552,SBI Bluechip Fund - Direct Plan - Growth,5.16,0.6482,19.8686,-11.8,0.66,30.0,67.5,65.0,92.5,27.500000000000004,55.5
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,10.11,0.6407,20.873,-15.27,1.52,47.5,65.0,67.5,36.25,47.5,54.19
102887,UTI Flexi Cap Fund - Regular - Growth,17.22,0.3846,16.2113,-21.54,1.64,77.5,47.5,50.0,3.75,75.0,53.19
120503,ICICI Pru Bluechip Fund - Regular - Growth,9.85,0.5166,17.7033,-13.9,1.42,45.0,60.0,60.0,52.5,35.0,51.88
