amfi_code,scheme_name,hhi_score,concentration
119551,SBI Bluechip Fund - Regular Plan - Growth,1424.91,Low
119552,SBI Bluechip Fund - Direct Plan - Growth,2274.63,Moderate
119598,SBI Small Cap Fund - Regular Plan - Growth,1881.22,Moderate
119599,SBI Small Cap Fund - Direct Plan - Growth,2323.61,Moderate
100016,HDFC Top 100 Fund - Regular Plan - Growth,1805.88,Moderate
125497,HDFC Top 100 Fund - Direct Plan - Growth,1724.11,Moderate
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,2276.47,Moderate
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,2531.55,High
120503,ICICI Pru Bluechip Fund - Regular - Growth,1821.68,Moderate
120504,ICICI Pru Bluechip Fund - Direct - Growth,2211.69,Moderate
120505,ICICI Pru Midcap Fund - Regular - Growth,2386.0,Moderate
120506,ICICI Pru Value Discovery Fund - Regular - Growth,2313.72,Moderate
118632,Nippon India Large Cap Fund - Regular - Growth,2071.76,Moderate
118633,Nippon India Large Cap Fund - Direct - Growth,2212.0,Moderate
118634,Nippon India Small Cap Fund - Regular - Growth,1602.99,Moderate
118635,Nippon India ETF Nifty 50 BeES,2375.44,Moderate
120841,Kotak Bluechip Fund - Regular - Growth,2158.5,Moderate
120842,Kotak Emerging Equity Fund - Regular - Growth,1620.94,Moderate
120843,Kotak Flexicap Fund - Regular - Growth,1362.06,Low
119092,Axis Bluechip Fund - Regular - Growth,2968.28,High
119093,Axis Bluechip Fund - Direct - Growth,1842.33,Moderate
119094,Axis Midcap Fund - Regular - Growth,1750.65,Moderate
119095,Axis Small Cap Fund - Regular - Growth,1596.14,Moderate
101206,ABSL Frontline Equity Fund - Regular - Growth,1800.06,Moderate
101207,ABSL Small Cap Fund - Regular - Growth,2227.71,Moderate
102885,UTI Nifty 50 Index Fund - Regular - Growth,1807.12,Moderate
102886,UTI Mid Cap Fund - Regular - Growth,1240.7,Low
102887,UTI Flexi Cap Fund - Regular - Growth,2513.32,High
148567,Mirae Asset Large Cap Fund - Regular - Growth,2012.88,Moderate
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,2181.29,Moderate
148569,Mirae Asset Tax Saver Fund - Regular - Growth,2550.94,High
149322,DSP Top 100 Equity Fund - Regular - Growth,1827.32,Moderate
149323,DSP Midcap Fund - Regular - Growth,2410.77,Moderate
149324,DSP Small Cap Fund - Regular - Growth,1887.01,Moderate
