amfi_code,scheme_name,sharpe_ratio,sortino_ratio
100016,HDFC Top 100 Fund - Regular Plan - Growth,-0.321,-0.4728
100025,HDFC Short Term Debt Fund - Regular - Growth,-1.0399,-1.4612
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.8083,1.1442
101206,ABSL Frontline Equity Fund - Regular - Growth,0.7174,1.0639
101207,ABSL Small Cap Fund - Regular - Growth,0.0526,0.0757
101208,ABSL Liquid Fund - Regular - Growth,-4.6504,-8.7417
102885,UTI Nifty 50 Index Fund - Regular - Growth,0.5198,0.773
102886,UTI Mid Cap Fund - Regular - Growth,-0.2949,-0.4206
102887,UTI Flexi Cap Fund - Regular - Growth,0.3846,0.5719
118632,Nippon India Large Cap Fund - Regular - Growth,0.7589,1.0989
118633,Nippon India Large Cap Fund - Direct - Growth,0.3888,0.5886
118634,Nippon India Small Cap Fund - Regular - Growth,0.2923,0.4113
118635,Nippon India ETF Nifty 50 BeES,0.3932,0.5694
118636,Nippon India Gilt Securities Fund - Regular - Growth,-0.8506,-1.2383
119092,Axis Bluechip Fund - Regular - Growth,-0.131,-0.1892
119093,Axis Bluechip Fund - Direct - Growth,-0.0471,-0.0679
119094,Axis Midcap Fund - Regular - Growth,0.7305,1.0553
119095,Axis Small Cap Fund - Regular - Growth,-0.1517,-0.2163
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,-0.7431,-1.0459
119551,SBI Bluechip Fund - Regular Plan - Growth,0.861,1.2915
119552,SBI Bluechip Fund - Direct Plan - Growth,0.6482,0.9266
119598,SBI Small Cap Fund - Regular Plan - Growth,0.7117,1.0673
119599,SBI Small Cap Fund - Direct Plan - Growth,-0.1362,-0.19
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.5166,0.7329
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.7147,1.064
120505,ICICI Pru Midcap Fund - Regular - Growth,0.8833,1.2858
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.4046,0.5781
120507,ICICI Pru Liquid Fund - Regular - Growth,-3.6502,-7.2082
120841,Kotak Bluechip Fund - Regular - Growth,0.2551,0.3766
120842,Kotak Emerging Equity Fund - Regular - Growth,-0.0582,-0.0807
120843,Kotak Flexicap Fund - Regular - Growth,0.9656,1.4795
120844,Kotak Liquid Fund - Regular - Growth,-4.0003,-7.768
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.5063,0.7348
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.1348,0.1929
148567,Mirae Asset Large Cap Fund - Regular - Growth,1.0682,1.4907
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.6407,0.9558
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.919,1.3528
149322,DSP Top 100 Equity Fund - Regular - Growth,0.2397,0.333
149323,DSP Midcap Fund - Regular - Growth,0.8329,1.1678
149324,DSP Small Cap Fund - Regular - Growth,0.7144,1.031
